ubigeo,g_factor_tasa_paralizacion,g_factor_ratio_sobretiempo_promedio,g_factor_ratio_sobrecosto_promedio,s_factor_total_muertes,s_factor_edad_prom_muerte,s_factor_tasa_prevenibles,g_score,s_score,iris_score,ubigeo_code
AMAZONAS_RODRIGUEZ DE MENDOZA_MILPUCC,0.0,0.0128182908809103,0.0050286145560075,0.0005759978315375,0.3860911270983211,0.0,0.0059489684789726,0.1288890416432862,0.0674190050611294,
AMAZONAS_RODRIGUEZ DE MENDOZA_OMIA,0.0681818181818181,0.0768069162974817,0.0,0.0031510469607643,0.5362008265727845,0.0,0.0483295781597666,0.1797839578445162,0.1140567680021414,010609
AMAZONAS_RODRIGUEZ DE MENDOZA_SAN NICOLAS,0.0571428571428571,0.0520980088410084,2.613997234994503e-06,0.0038964559192247,0.4379806499627883,0.0,0.0364144933270335,0.1472923686273377,0.0918534309771856,010601
AMAZONAS_RODRIGUEZ DE MENDOZA_SANTA ROSA,0.0,0.0706396542825711,0.0,0.0006776445076912,0.2565947242206234,0.0,0.0235465514275237,0.0857574562427715,0.0546520038351476,010610
AMAZONAS_RODRIGUEZ DE MENDOZA_TOTORA,0.0,0.0409747076022262,0.0015845683602658,0.0003727044792301,0.2745803357314147,0.0,0.0141864253208307,0.0916510134035483,0.0529187193621895,010611
AMAZONAS_RODRIGUEZ DE MENDOZA_VISTA ALEGRE,0.0,0.0672855729599928,0.0,0.0006437622823067,0.5769784172661871,0.0,0.0224285243199976,0.1925407265161646,0.1074846254180811,010612
AMAZONAS_UTCUBAMBA_BAGUA GRANDE,0.0909090909090909,0.052023517114362,4.893027716732466e-05,0.0285288337738022,0.4589893921162002,0.0,0.0476605127668734,0.1625060752966675,0.1050832940317704,010701
AMAZONAS_UTCUBAMBA_CAJARURO,0.0638297872340425,0.0347574849512436,0.0005366993308325,0.0108761943484448,0.4847401581840118,0.0,0.0330413238387062,0.1652054508441522,0.0991233873414292,010702
AMAZONAS_UTCUBAMBA_CUMBA,0.0410958904109589,0.0477878123309805,0.0001924328561432,0.002168462424612,0.4643054786939677,0.0,0.0296920451993608,0.1554913137061932,0.092591679452777,010703
AMAZONAS_UTCUBAMBA_EL MILAGRO,0.0526315789473684,0.0299729357054496,0.0004629272054897,0.0021006979738429,0.3933995660614364,0.0,0.0276891472861026,0.1318334213450931,0.0797612843155978,010704
AMAZONAS_UTCUBAMBA_JAMALCA,0.0638297872340425,0.0519229649323682,0.0011886128690504,0.002710578030765,0.4662048139266364,0.0,0.0389804550118203,0.1563051306524671,0.0976427928321437,010705
AMAZONAS_UTCUBAMBA_LONYA GRANDE,0.064516129032258,0.0572684112033243,0.0001712714813734,0.0050823338076844,0.4097860784220306,0.0,0.0406519372389852,0.1382894707432383,0.0894707039911118,010706
AMAZONAS_UTCUBAMBA_YAMON,0.0857142857142857,0.0380762833921993,0.0007762269424177,0.0008809378599986,0.5123900879296563,0.0,0.0415222653496342,0.171090341929885,0.1063063036397596,010707
ANCASH_AIJA_AIJA,0.0379746835443038,0.0364203518989919,0.0,0.0035576336653791,0.2922492194923307,0.0,0.0247983451477652,0.0986022843859033,0.0617003147668342,020201
ANCASH_AIJA_CORIS,0.0,0.0216206253951277,0.0,0.0023717557769194,0.3616374506028978,0.0,0.0072068751317092,0.1213364021266057,0.0642716386291575,020202
ANCASH_AIJA_HUACLLAN,0.0,0.1356331615103187,0.0012974037864235,0.0005759978315375,0.1926458832933653,0.0,0.0456435217655807,0.0644072937083009,0.0550254077369408,020203
ANCASH_AIJA_LA MERCED,0.0,0.0258608058542995,0.0,0.0025072846784576,0.3256594724220623,0.0,0.0086202686180998,0.1093889190335066,0.0590045938258032,020204
ANCASH_AIJA_SUCCHA,0.1578947368421052,0.0480649621746688,0.0,0.001626346818459,0.2705916899133753,0.0,0.0686532330055913,0.0907393455772781,0.0796962892914347,020205
ANCASH_ANDAHUAYLAS_ANDAHUAYLAS,0.0,0.0294795407635926,0.0001907086149799,0.0036931625669173,0.3928621808435604,0.0,0.0098900831261908,0.1321851144701592,0.071037598798175,
ANCASH_ANDAHUAYLAS_CARAZ,0.0,0.0257825467835546,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0085941822611848,0.1321851144701592,0.070389648365672,
ANCASH_ANDAHUAYLAS_HUALLANCA,0.0,0.0183088342792753,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0061029447597584,0.1321851144701592,0.0691440296149588,
ANCASH_ANDAHUAYLAS_HUATA,0.0,0.0572904282764159,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0190968094254719,0.1321851144701592,0.0756409619478156,
ANCASH_ANDAHUAYLAS_MATO,0.0,0.0080095356036931,0.0,0.0036931625669173,0.3928621808435604,0.0,0.002669845201231,0.1321851144701592,0.0674274798356951,
ANCASH_ANDAHUAYLAS_PAMPAROMAS,0.1818181818181818,0.040799068604303,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0742057501408282,0.1321851144701592,0.1031954323054937,
ANCASH_ANDAHUAYLAS_PUEBLO LIBRE,0.0,0.1312958019153008,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0437652673051002,0.1321851144701592,0.0879751908876297,
